식물구분번호,식물분류명,한글식물명,식물학명,식물학명분류,국문식물상세설명,국외식물분포지역,이용가능부위,국문식물효능설명,국문식물복용방법설명
1,양치식물,부처손과,부처손과(Selaginellaceae),Selaginella involvens (SW.) Spring,"바위나 나무 간에 붙어서 다년생으로 자라며 길이는 20cm정도 자라고 가지가 달린 줄기가 뿌리처럼 땅속으로 들어가 줄기처럼 서서 자란다. 잎은 4줄로 배열하고 서양이며 잎 끝이 가지가 되고 잔톱니가 많이 늘어서 있다. 잎집주머니는 이삭의 단경에 달려 1개씩 달린다.","한국(전국), 중국, 일본, 동아시아, 대만, 인도, 자바, 필리핀",전초(전초),"건출에 의한 억균작용이나 채취하여 말려서 복용, 지혈 작용.","소량, 산후어혈, 지혈, 타박상, 탈항, 종기, 무월경, 폐경, 피오줌, 피똥, 피토, 활혈, (내복): 달이거나, 환제 또는 가루약(산제)으로 만들어 복용한다. (외용): 짓찧어 붙이거나 신선한 생즙을 내어 상처 부위에 바른다."
2,양치식물,속새과,속새과(Equisetaceae),Equisetum arvense L.,"습지나 냇가 주변 밭둑에 자라는 다년생 초본으로 줄기는 마디가 있고 직립하며 높이 30~40cm이고 마디가 많이 있다. 마디 마다 잎잎줄기가 억세고 마디에 긴 엽집이 3~4개의 억세게 있다. 포자주머니 이삭은 뱀머리 모양이고 겉부분에 포자엽에 의해 둘러싸여 있으며 마디에 7개 정도의 포자주머니가 달린다. 봄에 영양줄기보다 줄기가 먼저 나와 성숙하고 나중에 자란다.","한국(전국), 북반구 온대 전지역",전초(전초),봄철에 5~7월 채취하여 그늘에서 말린다.,"해열, 이뇨, 통경작용, 안질환, 다뇨, 결석, 방광염, 피오줌, 토혈, 치질, 치통, 칠창, 탈항, 출혈성질환, 대하증, 폐결핵, 타혈, 해수, 지혈, 활혈, (내복): 달이거나 환(丸)으로 만들어 복용한다. (외용): 달인 물로 상처 부위를 씻는다."
3,양치식물,속새과,속새과(Equisetaceae),Equisetum hyemale L.,"습지나 산골짜기 냇가에 자라는 상록 다년초로 높이 30~60cm이며 줄기가 모여나서 마디처럼 보이고 마디와 마디 사이에 10~18개의 억세가 있다. 관화는 마디 마다 밑부분이 서로 합쳐져서 나팔 모양이 되며 속은 비어 있고 마디 마다 억세가 돌려 달린다. 포자주머니는 포자줄기 끝에 달리고 뾰족하며 황갈색이다. 속새는 생약명으로 줄기가 단단하고 외부에 관화가 줄기 마다 달려 있다.","한국(전국), 북반구 온대 전지역",전초(전초),여름철에 지상부를 잘라 채취하여 그늘에서 말린다.,"풍열이안, 이뇨, 지혈작용, 소풍청열, 이뇨, 유목, 장풍하혈, 자궁출혈, 수염, 피오줌, 토혈, 치통, 치질, 탈항, 대하증, 해열, 지혈, (내복): 달이거나 환제 또는 가루약으로 만들어서 복용한다. (외용): 달인 물로 상처 부위를 씻는다. 단 임산부나 몸이 차가운 사람은 복용에 주의한다."
4,양치식물,고사리삼과,고사리삼과(Ophioglossaceae),Sceptridium ternatum (Thunb.) Lyon,"습지나 산 산지 주변 풀밭에 자라는 다년생 초본으로 두껍고 길게 뿌리가 발달하여 자란다. 잎은 2개로 갈라져 영양엽과 영양(포자)엽으로 되며 영양(영양)은 자루가 길고 3회 羽狀으로 갈라지며 잔톱니를 포함하고 있다. 포자엽은 영양엽 자루 밑부분에서 나와 긴 자루가 생기고 포자주머니가 달린다. 이 고사리삼은 여름에 포자엽 이삭이 달리고 겨울에 줄기가 시들어 없어짐.","한국(전국), 중국, 일본, 히말라야",영양엽(영양엽),여름철에 채취하여 햇볕에 말린다.,"폐 보호, 해수천식, 이뇨, 지혈, 무월경, 청열, 해독, 해수, 해열, 소종지통, (내복): 달여서 복용한다. (외용): 짓찧어 상처 부위에 바른다."
5,양치식물,고비과,고비과(Osmundaceae),Osmunda japonica Thunb.,"산지의 습한 골짜기 및 하천변에 자라는 다년초로 높이 60~100cm이고 영양 줄기 밑부분에서 긴 잎자루가 나온다. 잎은 2회 우상복엽이고 깃꼴 길이는 20~30cm이다. 봄철에 영양잎보다 먼저 포자잎이 나와 붉은 갈색으로 변해 매우 정교하게 깃꼴로 갈라지며 포자주머니가 달리게 된다. 이 고비는, 고사리보다 줄기가 굵고 깃꼴이 2회 우상복엽이다.","한국(중부이남), 중국, 일본, 대만, 사할린, 히말라야","자경(관중),근경(관중), 엽경(관중)",뿌리줄기와 잎자루 잔기를 가을에 채취하여 잔뿌리와 줄기를 제거한다.,"지혈, 해열, 기생충, 구충, 감기몸살, 이뇨, 타박상, 징가현벽, 토혈, 뇨혈, 코피, 수렴자강, 항균, 청열해독, 구충, 이뇨, 보간신, 해열, 활혈, 진통, (내복): 달이거나 환제(丸劑)로 만들어 복용한다."
6,양치식물,고사리과,면마과(Dryopteridaceae),Dryopteris crassirhizoma Nakai,"산지 그늘에 자라는 다년초로 길이가 100cm 정도 자라며 뿌리줄기가 굵고 잎이 모여 난다. 잎은 도피침형으로 2회 우상으로 갈라지며 잎자루에 비늘 조각이 마디처럼 달려있다. 포자주머니는 잎갈래 조각 뒷면에 달리고 영양 잎자루에 2줄로 달린다. 이 관중고사리는 잎이 크고 관 모양으로 모여 나는 대형 고사리류이다.","한국(전국), 중국, 일본, 러시아",관중(관중),뿌리줄기를 가을이나 봄에 채취하여 햇볕에 말린다.,"구충, 코피, 지혈, 해열, 수렴작용, 이뇨, 자궁출혈, 자궁지혈, 자궁강화, 수염, 피오줌, 토혈, 청열해독, 자궁지혈, 해열, 획충, 회충구충, (내복): 달이거나 환제 또는 가루약으로 만들어 복용한다. 단 임산부나 몸이 차가운 사람은 복용에 주의한다."
7,양치식물,고사리과,잔고사리과(Dennstaedtiaceae),Pteridium aquilinum var. latiusculum (Desv.) Underw. ex Hell.,"습지나 산지의 양지바른 곳에 자라는 다년초로 길이가 1m에 이르며 긴 뿌리줄기가 옆으로 뻗으면서 줄기가 나온다. 잎은 넓은 삼각형으로 3회 우상으로 갈라지며 딱딱하다. 엽편은 삼각형이고 잎자루 뒷면 가장자리 쪽으로 포자주머니가 줄지어 달린다. 이 고사리는 포자고사리라 불리며 잎자루를 말려 식용으로 활용한다.","한국(전국), 중국, 일본, 러시아",근경(근경),뿌리줄기를 가을이나 겨울에 채취하여 햇볕에 말린다.,"해열, 이뇨, 소종, 황달, 타박상, 열독, 종기, 음위, 해독, 해열, 이뇨, 보양강장, 진통, 청열, 치통, 탈항, 출혈, 대변, 대하증, 해수, 화상, 황달, 해독작용, (내복): 달이거나 환제로 만들어 복용한다."
100,쌍자엽식물,미나리아재비과,미나리아재비과(Ranunculaceae),Pulsatilla koreana (Yabe ex Nakai) Nakai ex T. Mori,"양지바른 산과 들판에 자라는 다년초로 뿌리는 굵고 길며 갈색이다. 잎은 깃꼴복엽이고 긴 백색 털로 덮여 있다. 꽃은 4월에 암적자색으로 피며 밑을 향해 달린다. 열매는 암술대가 긴 백색 털로 남아 할미 머리처럼 보인다.","한국(전국), 중국",백두옹(할미꽃),뿌리를 봄과 가을에 채취하여 햇볕에 말린다.,"청열해독, 량혈지사, 아메바성이질, 코피, 장염, 학질, 종기, 항균, 항진균","(내복): 달여서 복용한다. 독성이 있으므로 과다 복용을 금한다."
111,쌍자엽식물,매화나무과,매화나무과(Berberidaceae),Nandina domestica Thunb.,"상록관목으로 높이 3m에 달한다. 잎은 3회 깃꼴복엽이고 가죽질이다. 꽃은 6~7월에 흰색으로 피며, 열매는 10월에 붉게 익는다.","한국(남부), 중국, 일본",남천실(남천),열매를 가을에 채취하여 말린다.,"진해, 거담, 천식, 백일해, 해수, 해열, 강장","(내복): 달여서 복용한다."
119,쌍자엽식물,목련과,오미자과(Schisandra chinensis),Schisandra chinensis (Turcz.) Baill.,"산골짜기 숲속에 자라는 낙엽 덩굴식물로 길이는 3m 이상 자란다. 잎은 타원형이고 톱니가 있다. 꽃은 6~7월에 황백색으로 피며, 열매는 8~9월에 붉게 익어 이삭처럼 늘어진다.","한국(전국), 중국, 일본, 러시아",오미자(오미자),열매를 가을에 채취하여 햇볕에 말린다.,"수렴고삽,益기생진, 녕심안신, 기침, 천식, 만성피로, 식은땀, 유정, 설사, 자양강장, 진액생성","(내복): 달이거나 찬물에 우려내어 차로 복용한다."
127,쌍자엽식물,양귀비과,현호색과(Fumariaceae),Corydalis remota Fisch. ex Maxim.,"습한 산지에 자라는 다년초로 높이 20cm 정도이며 덩이줄기가 괴경으로 발달한다. 잎은 3출 2~3회 분열하며, 꽃은 4월에 연한 자홍색으로 피어 이삭 모양으로 달린다.","한국(전국), 중국, 러시아",현호색(현호색),덩이줄기를 봄에 채취하여 살짝 삶은 후 햇볕에 말린다.,"활혈, 산어, 리기, 진통, 월경통, 산후복통, 위통, 타박상, 두통, 관절통","(내복): 달여서 복용하거나 가루 내어 복용한다. 임산부는 복용을 금한다."
150,쌍자엽식물,장미과,장미과(Rosaceae),Agrimonia pilosa Ledeb.,"산과 들판에 자라는 다년초로 높이 30~100cm이며 전초에 털이 많다. 잎은 깃꼴복엽이다. 꽃은 6~8월에 황색으로 피며 수상화서로 달린다.","한국(전국), 중국, 일본, 러시아",선학초(짚신나물),전초를 여름과 가을에 꽃이 피기 시작할 때 채취하여 말린다.,"지혈, 건위, 소염, 항암, 자양, 각혈, 토혈, 피오줌, 장출혈, 세균성이질, 위염, 종기","(내복): 달여서 복용한다."
152,쌍자엽식물,장미과,장미과(Rosaceae),Chaenomeles sinensis (Thouin) Koehne,"낙엽교목으로 높이 10m에 달하며 줄기껍질이 비늘처럼 벗겨진다. 잎은 타원형이고 톱니가 있다. 꽃은 5월에 연홍색으로 피며, 열매는 9월에 타원형으로 황색으로 익고 향기가 높다.","한국(전국), 중국",모과(모과),열매를 가을에 채취하여 말린다.,"서근활락, 화위화습, 각기, 관절통, 곽란, 쥐남, 소화불량, 식체, 기침","(내복): 달이거나 얇게 쓸어 모과차로 복용한다."
154,쌍자엽식물,장미과,장미과(Rosaceae),Crataegus pinnatifida Bunge,"낙엽소교목으로 높이 6m에 달하며 가지에 가시가 있다. 잎은 깃모양으로 깊게 갈라진다. 꽃은 5월에 흰색으로 피며, 열매는 9~10월에 붉게 익는다.","한국(전국), 중국, 러시아",산사자(산사),열매를 가을에 채취하여 반으로 잘라 말린다.,"소식화적, 산어소종, 식체, 육류 소화불량, 설사, 고혈압, 동맥경화, 산후복통","(내복): 달이거나 가루 내어 복용한다."
163,쌍자엽식물,장미과,장미과(Rosaceae),Prunus armeniaca var. ansu Maxim.,"낙엽소교목으로 높이 5m에 달한다. 잎은 계란형이다. 꽃은 4월에 잎보다 먼저 연홍색으로 피며, 열매는 7월에 황색으로 익는다.","한국(전국), 중국",행인(살구),씨앗(핵인)을 가을에 채취하여 껍질을 벗기고 말린다.,"거담, 진해, 윤장통변, 기침, 천식, 변비, 만성기관지염","(내복): 달이거나 가루 내어 복용한다. 독성(아미그달린)이 있으므로 과다복용 금지."
166,쌍자엽식물,장미과,장미과(Rosaceae),Prunus mume (Siebold) Siebold & Zucc.,"낙엽소교목으로 높이 5m에 달한다. 잎은 타원형이다. 꽃은 3~4월에 잎보다 먼저 피며 백색 또는 홍색이다. 열매는 6월에 황색으로 익는다.","한국(중부이남), 중국",오매(매실),풋열매(미숙과)를 6월에 채취하여 훈제하여 흑색으로 말린다.,"수렴고삽, 지사, 지혈, 생진지갈, 구충, 만성설사, 이질, 기침, 회충증, 구갈","(내복): 달여서 복용한다."
168,쌍자엽식물,장미과,장미과(Rosaceae),Prunus persica (L.) Batsch,"낙엽소교목으로 높이 6m에 달한다. 잎은 피침형이다. 꽃은 4월에 연홍색으로 피며, 열매는 7~8월에 복숭아로 결실한다.","한국(전국), 중국",도인(복숭아),씨앗(핵인)을 가을에 채취하여 껍질을 벗겨 말린다.,"활혈파어, 윤장통변, 월경불순, 타박상, 변비, 징가, 혈전방지","(내복): 달이거나 가루 내어 복용한다. 임산부는 복용을 금한다."
177,쌍자엽식물,장미과,장미과(Rosaceae),Rubus coreanus Miq.,"낙엽 덩굴성 관목으로 줄기가 줄어들며 백가루로 덮여 있고 가시가 있다. 잎은 깃꼴복엽이다. 꽃은 5~6월에 분홍색으로 피며, 열매는 7~8월에 검은색으로 익는다.","한국(전국), 중국",복분자(복분자딸기),미숙한 열매를 6~7월에 채취하여 살짝 삶아 햇볕에 말린다.,"보신, 고정, 축뇨, 명목, 유정, 야뇨증, 음위, 눈 밝아짐, 정력강화, 보양","(내복): 달이거나 술에 담가 복용."
181,쌍자엽식물,장미과,장미과(Rosaceae),Sanguisorba officinalis L.,"산과 들에 자라는 다년초로 높이 30~150cm이며 전초에 털이 없다. 잎은 깃꼴복엽이다. 꽃은 7~9월에 암적자색으로 피며 수상화서로 달린다.","한국(전국), 중국, 일본, 러시아",지유(오이풀),뿌리를 가을 및 봄에 채취하여 햇볕에 말린다.,"량혈지혈, 청열해독, 장출혈, 치질출혈, 혈변, 화상, 종기, 습진, 소염","(내복): 달여서 복용한다. (외용): 가루 내어 상처에 바르거나 달인 물로 씻는다."
191,쌍자엽식물,콩과,콩과(Leguminosae),Astragalus membranaceus Bunge,"산지에 자라는 다년초로 높이 1m에 달하며 전초에 털이 있다. 잎은 깃꼴복엽이다. 꽃은 7~8월에 황백색으로 피며 총상화서로 달린다. 뿌리는 길고 굵다.","한국(전국), 중국, 러시아",황기(황기),뿌리를 가을에 채취하여 햇볕에 말린다.,"보기승양, 고표지한, 토탁생근, 이수소종, 면역력강화, 만성피로, 식은땀, 식욕부진, 상처치유, 부종","(내복): 달이거나 삼계탕 등 보양식에 넣어 복용."
196,쌍자엽식물,콩과,콩과(Leguminosae),Senna tora (L.) Roxb.,"한해살이풀로 높이 1m에 달한다. 잎은 짝수 깃꼴복엽이다. 꽃은 6~8월에 노란색으로 피며, 열매는 활 모양으로 굽은 협과이다.","한국(전국), 열대 및 온대",결명자(결명자),씨앗을 가을에 채취하여 햇볕에 말린 후 살짝 볶는다.,"청간명목, 윤장통변, 눈충혈, 시력감퇴, 야맹증, 고혈압, 변비, 당뇨","(내복): 달이거나 차로 우려내어 복용."
200,쌍자엽식물,콩과,콩과(Leguminosae),Glycyrrhiza uralensis Fisch.,"건조한 초원 및 들판에 자라는 다년초로 뿌리가 길고 단맛이 강하다. 잎은 깃꼴복엽이다. 꽃은 7~8월에 자홍색으로 피며 총상화서로 달린다.","한국(북부), 중국, 러시아",감초(감초),뿌리 및 뿌리줄기를 가을에 채취하여 햇볕에 말린다.,"보비익기, 청열해독, 거담지침, 완급지통, 제약조화, 위경련, 기침, 약물중독 해독","(내복): 달이거나 구워서(자감초) 복용."
210,쌍자엽식물,콩과,콩과(Leguminosae),Pueraria lobata (Willd.) Ohwi,"산지 숲속에 자라는 덩굴성 다년초로 뿌리는 두껍고 길게 육질로 발달한다. 잎은 3출복엽이다. 꽃은 8월에 자홍색으로 피며 총상화서로 달린다.","한국(전국), 중국, 일본",갈근(칡),뿌리를 가을과 겨울에 채취하여 겉껍질을 벗기고 말린다.,"해조퇴열, 생진지갈, 투진, 승양지사, 숙취해소, 발열, 두통, 당뇨, 어깨결림, 고혈압","(내복): 달여서 복용하거나 생즙(칡즙)으로 복용."
211,쌍자엽식물,콩과,콩과(Leguminosae),Sophora flavescens Solander ex Aiton,"들판이나 산기슭에 자라는 다년초로 높이 1m에 달하며 뿌리는 매우 굵고 맛이 쓰다. 잎은 깃꼴복엽이다. 꽃은 6~8월에 황백색으로 피며 총상화서로 달린다.","한국(전국), 중국, 일본",고삼(고삼),뿌리를 가을과 봄에 채취하여 햇볕에 말린다.,"청열습열, 살충, 이뇨, 세균성이질, 습진, 피부가려움증, 황달, 대하","(내복): 달이거나 가루 내어 복용. (외용): 달인 물로 씻는다."
212,쌍자엽식물,콩과,콩과(Leguminosae),Sophora japonica L.,"낙엽교목으로 높이 25m에 달한다. 잎은 깃꼴복엽이다. 꽃은 8월에 황백색으로 피며 원깔때기모양 화서로 달린다.","한국(전국), 중국",괴화(회화나무),꽃봉오리를 여름에 채취하여 말린다.,"량혈지혈, 청간사화, 치질출혈, 코피, 고혈압, 안구충혈, 장출혈","(내복): 달이거나 차로 복용한다."
223,쌍자엽식물,운향과,운향과(Rutaceae),Phellodendron amurense Rupr.,"낙엽교목으로 높이 10m에 달하며 내피(황백)가 밝은 노란색이고 맛이 쓰다. 잎은 깃꼴복엽이다. 꽃은 6월에 황록색으로 피며, 열매는 10월에 검은색으로 익는다.","한국(전국), 중국, 러시아",황백(황벽나무),줄기껍질을 봄과 여름에 채취하여 겉껍질을 벗겨내고 말린다.,"청열상화, 사화해독, 퇴허열, 설사, 황달, 무릎관절통, 습진, 도한","(내복): 달여서 복용한다."
224,쌍자엽식물,운향과,운향과(Rutaceae),Poncirus trifoliata Raf.,"낙엽관목으로 높이 3m에 달하며 가지에 크고 억센 가시가 있다. 잎은 3출복엽이다. 꽃은 5월에 흰색으로 피며, 열매는 9월에 황색으로 익는다.","한국(남부), 중국",지실(탱자나무),미성숙 열매를 6~7월에 채취하여 말린다.,"소적화체, 리기소창, 식체, 소화불량, 복부팽만, 피부가려움, 두드러기","(내복): 달여서 복용한다."
225,쌍자엽식물,운향과,운향과(Rutaceae),Zanthoxylum piperitum (L.) DC.,"낙엽관목으로 높이 3m에 달하며 가시가 대생한다. 잎은 깃꼴복엽이다. 꽃은 5~6월에 황록색으로 피며, 열매는 9월에 붉게 익어 검은 씨가 나온다.","한국(남부), 일본",초피(초피나무),열매껍질을 가을에 채취하여 씨를 제거하고 말린다.,"온중산한, 제습지통, 살충, 요통, 위경련, 구토, 설사, 치통","(내복): 달이거나 가루 내어 향신료 및 약용으로 복용한다."
241,쌍자엽식물,옻나무과,옻나무과(Anacardiaceae),Rhus javanica L.,"낙엽소교목으로 높이 5~8m에 달하며 엽축에 날개가 있다. 잎은 깃꼴복엽이다. 진딧물이 잎에 벌레집(오배자)을 만든다.","한국(전국), 중국, 일본",오배자(붉나무),잎에 생긴 벌레집을 가을에 채취하여 증기로 삶아 말린다.,"수렴고삽, 지혈, 지사, 항균, 만성설사, 식은땀, 출혈, 종기, 화상","(내복): 달여서 복용한다."
243,쌍자엽식물,옻나무과,옻나무과(Anacardiaceae),Rhus verniciflua Stokes,"낙엽교목으로 높이 10m에 달하며 수액(옻)을 분비한다. 잎은 깃꼴복엽이다.","한국(전국), 중국",건칠(옻나무),수액을 건조시켜 단단한 덩어리로 만들어 볶아 쓴다.,"破혈통경, 소적살충, 무월경, 어혈, 위장질환, 관절염","(내복): 볶아서 달이거나 닭백숙(옻닭)에 넣어 복용. 옻 알레르기 주의."
261,쌍자엽식물,갈매나무과,갈매나무과(Rhamnaceae),Zizyphus jujuba var. inermis (Bunge) Rehder,"낙엽교목으로 높이 10m에 달한다. 가지에 가시가 있거나 없다. 잎은 계란형이고 3개의 큰 잎맥이 있다. 열매는 9~10월에 붉게 익는다.","한국(전국), 중국",대추(대추나무),열매를 가을에 채취하여 햇볕에 말린다.,"보중익기, 양혈안신, 완화약성, 위장강화, 불면증, 신경과민, 피로회복","(내복): 달이거나 생식, 대추차로 복용."
293,쌍자엽식물,두릅나무과,두릅나무과(Araliaceae),Aralia cordata var. continentalis (Kitag.) Y.C.Chu,"산지에 자라는 다년초로 높이 1.5m에 달하며 전초에 털이 약간 있다. 잎은 깃꼴복엽이다. 뿌리가 굵고 향기가 높다.","한국(전국), 중국, 러시아",독활(땅두릅),뿌리를 가을과 봄에 채취하여 햇볕에 말린다.,"거풍제습, 통락지통, 관절통, 신경통, 요통, 두통, 풍습성 관절염","(내복): 달여서 복용한다."
294,쌍자엽식물,두릅나무과,두릅나무과(Araliaceae),Aralia elata (Miq.) Seem.,"낙엽관목으로 높이 3~4m에 달하며 줄기에 크고 억센 가시가 많다. 잎은 2회 깃꼴복엽이다. 4~5월에 어린순을 두릅이라 하여 식용한다.","한국(전국), 중국, 일본",두송(두릅나무),뿌리껍질 및 줄기껍질을 가을에 채취하여 말린다.,"거풍제습, 보기안신, 당뇨, 신경통, 관절염, 위장병, 피로회복","(내복): 달여서 복용한다."
296,쌍자엽식물,두릅나무과,두릅나무과(Araliaceae),Eleutherococcus senticosus (Rupr. & Maxim.) Maxim.,"낙엽관목으로 높이 2~3m에 달하며 줄기에 바늘 모양의 잔가시가 밀생한다. 잎은 5출 손바닥모양 복엽이다.","한국(북부, 동해안), 중국, 러시아",가시오가피(가시오갈피),뿌리 및 줄기를 가을에 채취하여 햇볕에 말린다.,"자양강장, 거풍제습, 칠근골, 보간신, 피로회복, 면역력증진, 관절염, 당뇨, 고혈압","(내복): 달이거나 술에 담가 복용."
297,쌍자엽식물,두릅나무과,두릅나무과(Araliaceae),Eleutherococcus sessiliflorus (Rupr. & Maxim.) S.Y.Hu,"낙엽관목으로 높이 3~4m에 달하며 가시가 거의 없다. 잎은 3~5출 손바닥모양 복엽이다.","한국(전국), 중국",오가피(오갈피나무),뿌리껍질 및 줄기껍질을 가을에 채취하여 말린다.,"거풍제습, 보간신, 강근골, 관절통, 신경통, 요부냉통, 이뇨","(내복): 달이거나 환제로 복용."
302,쌍자엽식물,두릅나무과,두릅나무과(Araliaceae),Panax ginseng C.A.Mey.,"산지의 그늘진 깊은 숲속에 자라는 다년초로 높이 60cm에 달하며 뿌리가 굵고 육질이다. 잎은 5출 손바닥모양 복엽으로 윤생한다.","한국(전국), 중국, 러시아",인삼(인삼),뿌리를 4~6년 성숙 후 가을에 채취하여 말린다.,"대보원기, 보비익폐, 생진안신, 원기회복, 면역력강화, 당뇨예방, 피로회복, 심혈관건강","(내복): 달이거나 달인 즙, 삼계탕, 인삼차로 복용."
303,쌍자엽식물,산형과,산형과(Umbelliferae),Angelica tenuissima Nakai,"산지 바위 지대에 자라는 다년초로 높이 30~80cm이며 독특한 강한 향기가 난다. 잎은 3회 깃꼴로 가늘게 갈라진다.","한국(중부이북), 중국",고본(고본),뿌리를 가을에 채취하여 햇볕에 말린다.,"거풍, 산한, 승습, 지통, 두통, 정수두통, 치통, 풍습성 관절통, 피부염","(내복): 달여서 복용한다."
304,쌍자엽식물,산형과,산형과(Umbelliferae),Angelica acutiloba (Siebold & Zucc.) Kitag.,"재배하는 다년초로 높이 60~90cm이며 줄기가 자색을 띤다. 잎은 깃꼴복엽이다. 뿌리에 강한 한약 향이 난다.","한국(전국), 일본",일당귀(왜당귀),뿌리를 가을에 채취하여 말린다.,"보혈, 활혈, 조경, 진통, 빈혈, 월경통, 산후복통, 냉증","(내복): 달여서 복용한다."
305,쌍자엽식물,산형과,산형과(Umbelliferae),Angelica dahurica (Fisch. ex Hoffm) Benth. & Hook. f.,"산지 골짜기에 자라는 다년초로 높이 1~2m이며 뿌리가 굵다. 잎은 2~3회 깃꼴복엽이다.","한국(전국), 중국, 러시아",백지(구릿대),뿌리를 가을에 채취하여 햇볕에 말린다.,"거풍, 산한, 쾌통, 소종, 배농, 두통, 치통, 축농증, 감기, 피부가려움","(내복): 달여서 복용한다."
306,쌍자엽식물,산형과,산형과(Umbelliferae),Angelica gigas Nakai,"산골짜기 습지에 자라는 다년초로 높이 1~2m이며 줄기가 자주색을 띠고 향기가 강하다. 잎은 3출 깃꼴복엽이다.","한국(전국), 중국",당귀(참당귀),뿌리를 가을에 채취하여 햇볕에 말린다.,"보혈활혈, 조경지통, 윤장통변, 여성보혈, 생리통, 혈액순환, 수족냉증, 변비","(내복): 달이거나 환제로 만들어 복용."
307,쌍자엽식물,산형과,산형과(Umbelliferae),Bupleurum falcatum L.,"산과 들의 양지바른 곳에 자라는 다년초로 높이 40~70cm이다. 잎은 피침형이고 낫 모양으로 약간 굽는다.","한국(전국), 중국, 일본",시호(시호),뿌리를 가을과 봄에 채취하여 햇볕에 말린다.,"한열왕래, 소간해울, 승양거함, 감기발열, 간기울결, 만성간염, 불면","(내복): 달여서 복용한다."
308,쌍자엽식물,산형과,산형과(Umbelliferae),Cnidium officinale Makino,"재배하는 다년초로 높이 30~60cm이며 뿌리줄기가 덩어리 모양으로 굵고 향기가 매우 강하다.","한국(전국), 중국, 일본",천궁(천궁),뿌리줄기를 가을에 채취하여 살짝 삶은 후 말린다.,"활혈행기, 거풍지통, 두통, 월경통, 산후어혈, 어깨결림, 혈액순환","(내복): 달여서 복용한다."
316,쌍자엽식물,층층나무과,층층나무과(Cornaceae),Cornus officinalis Siebold & Zucc.,"낙엽소교목으로 높이 7m에 달한다. 잎은 타원형이다. 꽃은 3~4월에 잎보다 먼저 노란색으로 피며, 열매는 9~10월에 붉게 익는다.","한국(전국), 중국",산수유(산수유나무),열매를 가을에 채취하여 씨를 빼내고 육질을 말린다.,"보익간신, 수렴고삽, 두통, 현기증, 요통, 무릎쇠약, 이명, 야뇨증, 정력강화, 피로회복","(내복): 달이거나 산수유차, 술로 복용."
330,쌍자엽식물,물푸레나무과,물푸레나무과(Oleaceae),Forsythia koreana (Rehder) Nakai,"낙엽관목으로 높이 3m에 달하며 가지가 아래로 늘어진다. 꽃은 4월에 노란색으로 피며, 열매는 9월에 계란형 캡슐로 결실한다.","한국(전국) 한국특산",연교(개나리),열매를 가을에 채취하여 말린다.,"청열해독, 소종산결, 감기발열, 종기, 여드름, 림프선염, 항염, 항균","(내복): 달여서 복용한다."
334,쌍자엽식물,용담과,용담과(Gentianaceae),Gentiana scabra Bunge,"산지에 자라는 다년초로 높이 20~60cm이며 뿌리가 굵고 맛이 매우 쓴 강장제이다. 꽃은 8~10월에 자주색으로 피어 종 모양으로 피어난다.","한국(전국), 중국, 러시아",용담(용담),뿌리 및 뿌리줄기를 가을에 채취하여 말린다.,"청열습열, 사간담화, 황달, 간염, 눈충혈, 습진, 소화불량","(내복): 달여서 복용한다."
340,쌍자엽식물,박주가리과,박주가리과(Asclepiadaceae),Cynanchum wilfordii (Maxim.) Hemsl.,"산기슭에 자라는 덩굴성 다년초로 뿌리가 굵은 덩이뿌리를 형성한다. 잎은 마주나며 심장형이다.","한국(전국), 일본, 중국",백하수오(은조롱),덩이뿌리를 가을에 채취하여 말린다.,"자양강장, 보간신, 익정혈, 흰머리예방, 관절통, 신경통, 피로회복","(내복): 달이거나 술에 담가 복용."
358,쌍자엽식물,꿀풀과,꿀풀과(Labiatae),Agastache rugosa (Fisch. & Mey.) Kuntze,"산과 들에 자라는 다년초로 높이 40~100cm이며 전초에서 향기로운 배초향(방아) 향이 난다. 꽃은 7~9월에 자홍색으로 피어난다.","한국(전국), 중국, 일본",배초향(곽향),지상부를 여름과 가을에 채취하여 그늘에서 말린다.,"해표화습, 화위지토, 여름철 감기, 구토, 설사, 식욕부진, 소화불량","(내복): 달이거나 차로 우려 복용."
364,쌍자엽식물,꿀풀과,꿀풀과(Labiatae),Leonurus japonicus Houtt.,"들판이나 길가에 자라는 두해살이풀로 높이 1m에 달하며 줄기가 사각형이다. 꽃은 7~8월에 연한 자홍색으로 층층이 달린다.","한국(전국), 중국, 일본",익모초(익모초),지상부를 여름철 꽃이 피기 전후에 채취하여 말린다.,"활혈조경, 이수소종, 월경불순, 무월경, 산후복통, 부종, 여성 질환","(내복): 달여서 복용하거나 생즙을 내어 복용."
367,쌍자엽식물,꿀풀과,꿀풀과(Labiatae),Mentha piperascens (Malinv.) Holmes,"습지에 자라는 다년초로 높이 50cm에 달하며 줄기가 사각형이다. 전초에 박하 멘톨 향이 강하다.","한국(전국), 중국, 일본",박하(박하),지상부를 여름과 가을에 채취하여 그늘에서 말린다.,"소풍청열, 청두목, 두통, 눈충혈, 인후통, 피부가려움, 감기발열","(내복): 달이거나 차로 우려내어 복용."
